id_public,prefix,name,sire_id,sire_name,dam_id,dam_name
CTC3070,SM,#10347,,,,
CTC3063,SM,#10352,,,,
CTC3064,SM,#10354,,,,
CTC3065,SM,#10355,,,,
CTC3066,SM,#10356,,,,
CTC3067,SM,#10357,,,,
CTC3058,SM,#10361,,,CTC2898,SM Dottets
CTC3059,SM,#10362,,,CTC2898,SM Dottets
CTC3060,SM,#10364,,,CTC2898,SM Dottets
CTC3061,SM,#10365,,,CTC2898,SM Dottets
CTC3076,MM,A7-M1,CTC2885,KW Ichiro,CTC2929,MAM Sativa
CTC4324,SM,ANJA,CTC2859,MM Lylian,CTC3258,SM Mira
CTC4325,SM,ANJA 1,CTC2859,MM Lylian,CTC3258,SM Mira
CTC4326,SM,ANJA 3,CTC2903,MM Jeriko,CTC2898,SM Dottets
CTC4327,SM,ANJA 4,CTC2903,MM Jeriko,CTC2898,SM Dottets
CTC3068,SM,All That Jazz,CTC2896,SM Spot,,
CTC3213,Dragon's,Alvari,CTC2995,Dragon's Hiiman,CTC2996,Dragon's Bongo
CTC3514,MM,Angelface,CTC3496,CMM Max,CTC2861,MM Your Wildest Dream
CTC3513,MM,Apache,CTC3496,CMM Max,CTC2861,MM Your Wildest Dream
CTC3756,IND,Ariel,,,,
CTC2931,KW,Arin,,,,
CTC3075,MM,Aydenn,CTC2885,KW Ichiro,CTC2929,MAM Sativa
CTC4286,MM,B12-M2,CTC311,TnS Yoshi,CTC396,MM Unicat
CTC3085,MM,B7-M1,CTC3017,IND Dove Astrex,CTC3132,LB Nessa
CTC3084,MM,B7-M2,CTC3017,IND Dove Astrex,CTC3132,LB Nessa
CTC3081,MM,C7-M2,CTC3017,IND Dove Astrex,CTC3133,LB Sunshine
CTC3082,MM,C7-M3,CTC3017,IND Dove Astrex,CTC3133,LB Sunshine
CTC3080,MM,C7-M4,CTC3017,IND Dove Astrex,CTC3133,LB Sunshine
CTC3079,MM,C7-M5,CTC3017,IND Dove Astrex,CTC3133,LB Sunshine
CTC3078,MM,C7-M7,CTC3017,IND Dove Astrex,CTC3133,LB Sunshine
CTC4328,SM,CHEYENNE,CTC2859,MM Lylian,CTC3258,SM Mira
CTC4329,SM,CHEYENNE 1,CTC2859,MM Lylian,CTC3258,SM Mira
CTC4330,SM,CHEYENNE 2,CTC2911,MM Floris,CTC3254,MB Big Momma
CTC4331,SM,CHEYENNE 4,CTC2903,MM Jeriko,CTC2898,SM Dottets
CTC4332,SM,CHEYENNE 5,,,,
CTC3097,MM,CO-M2,,,,
CTC3096,MM,CO-M4,,,,
CTC3088,MM,Celaeno,CTC2900,HL Serato,CTC2891,MAM Zhabelle
CTC3094,MM,Chandler,CTC373,MM Glennfiddich,CTC219,DM Domino
CTC3584,MM,Charlatan,CTC3277,M3's Pumpkin Spice,CTC3398,CMM Chokotoff
CTC3215,IND,Chocolate Swirl,,,,
CTC4333,MM,Coco,CTC3017,IND Dove Astrex,CTC3133,LB Sunshine
CTC3579,MLD,Creme Catalana,,,,
CTC3086,MM,D7-M1,CTC3017,IND Dove Astrex,CTC2920,LB ChiChi
CTC3087,MM,D7-M2,CTC3017,IND Dove Astrex,CTC2920,LB ChiChi
